"['""What type of documents are contained here?""', '""What are the features of this simulated intelligent search page?""']",Home
"['""What topics are covered under Global Strategic Sourcing on this site?""', '""Where can I find the list of preferred suppliers?""', '""Where can I find the point of contact for each category in the Global Buying Framework?""', '""Where can I find more details about Contract Approval Levels?""', '""Where can I find the operational procurement process guide?""', '""What\'s the PAT and how can it help with my procurement process?""', '""What\'s the purpose of the Global Buying Framework?""']",Global Strategic Sourcing
"['""What\'s the purpose of this template for the Amgen Virtual Assistant?""', '""How does AVA use SharePoint articles to answer user queries?""', '""What is the significance of \'Heading 3\' in this document?""', '""What types of responses can the virtual assistant process?""', '""Where can I find the list of Amgen\'s preferred suppliers?""', '""Where can I find the list of Amgen\'s preferred suppliers?""', '""What does AVA return to the end user?""']",Article Template
"['""What does \'Testing 1,23\' refer to in this document?""']",No Title. Document Key: -7356197849367575604
"['""Does this FAQ apply to Amgen staff outside the U.S.?""', '""Who is Dennis Murphy in relation to the Global Business Resilience team?""', '""Who\'s in charge of ensuring COVID safety measures at off-site meetings?""', '""Are off-site meetings allowed if it\'s not possible to meet at the Amgen campus?""', '""Can we now hold in-person meetings in the U.S. without approval?""', '""Hey, so Amgen won\'t let team leaders cover the cost of meals for those working from home, right?""', '""When is the deadline for Amgen staff to be fully vaccinated against COVID-19?""', '""Are they planning to ease COVID-19 restrictions at the workplace based on vaccination data?""', '""Is it mandatory for all Amgen staff in the U.S. and Puerto Rico to be fully vaccinated?""', '""Where can I find the Occupational Health representative\'s contact?""', '""What is AVA Metrics and how does it relate to the COVID-19 Test?""', '""What is the relation between \'Feedback-Look-Process\' and \'Aisera\' in the context of a COVID-19 Test?""', '""What does AVA-Metrics-09-Sep-2022 refer to in the context of a COVID-19 test?""', '""What does \'aisera_download_09Oct2022\' refer to in the context of a COVID-19 test?""']",COVID-19 Test
"['""Where can I find the card policy?""', '""What types of cards does Amgen issue?""']",HR Chatbot Integration
"['""What are the two types of cards issued at Amgen?""', 'What does ""abc"" signify in this context?', '""What does \'xyz\' represent in the document?""']",Hierarchy Test
"['""What\'s the purpose of this Amgen Virtual Assistant?""', '""How does the Amgen Virtual Assistant use the FAQ page to answer user queries?""', '""What\'s the purpose of the image in this FAQ template?""', '""What does the image in the document represent?""', '""What types of responses can the virtual assistant currently process?""', '""Who is Dennis Murphy in the Global Business Resilience team?""', '""What are the COVID safety measures for off-site meetings?""', '""Who\'s in charge of ensuring COVID safety measures at off-site meetings?""', '""Is there a requirement for approval to conduct in-person meetings in the U.S. for Amgen-sponsored events?""', '""Can team leaders expense meals for remote workers at Amgen?""', '""What\'s the purpose of adding a response to the question or statement in the document?""', '""What\'s the main idea of the FAQ Template?""', '""What\'s the process for adding responses to these FAQs?""', '""Tell me more about this generative AI product, how does it work?""']",FAQ Template
"['""How can I make my sticky notes opaque in the Open-i Colour Scheme?""']",Amend Colour And Font Of A Sticky Note (Prospects)
"['""What\'s the process for creating add-on policies?""', '""Does the Add-on Processing product automatically calculate the total add-on premium value?""', '""How many add-on policies can be defined in the ADD2 frame?""', '""What does the \'Yes/No - VT\' format mean in the ADD2.Addon.Offer1 field?""', '""What\'s the purpose of storing policy references for each add-on policy created?""', '""What is the process for creating add-on policies in Core Back-Office?""']",Add-on Processing (ADD2 Frame) (Prospects)
"['""Can I apply new Prospect Master Formats to my existing prospects?""']",Amending The Prospect Master Format Used On A Prospect (Prospects)
"['""So, the agent can now be changed directly in the Prospect Policy screen, right?""', '""What steps should I follow to change the agent on the policy screen?""', '""What steps are taken when changing the agent in the prospects policy screen?""']",Amending The Agent On The Policy Screen (Prospects)
['What happens if I need to make more changes after saving the amendments to the letter details?'],Amending Automatic Letter Details (Prospects)
"['""What\'s the process if I want to change a prospect\'s details?""']",Amending Prospect Details (Prospects)
"['""What features are available in the Professional edition of Prospects?""']",Prospect Main Menu (Prospects)
"['""Can you guide me through the functions of each Prospect Control Screen?""', '""How do I navigate between screens in Prospect Control?""', '""What\'s the difference between the \'Prospect Details screen\' and the \'Policy Details screen\'?""', '""What\'s the deal with the \'Force Payment Processing Required\' option in the Prospects system?""', '""Can I copy both Prospect and Prospect Policies to a new record?""', '""What does the \'Company style key generation\' option do in the Prospect Control system?""', '""Can I make the \'Date to be Sent\' field mandatory when requesting a memo in the Prospect Policy Diary?""', '""What\'s the purpose of the \'Level 3 Authorisation\' in Prospect Control?""', '""What\'s the purpose of the \'Check Insurer field is complete on NEGX frame\' option?""', '""What settings are available for checking mandatory fields when transferring prospect data?""', '""Can I restrict who can create a Cross Reference in Prospect Control?""', '""What does it mean to set the \'Risk Browse View\' to \'Show All\'?""', '""What options do I have when re-quoting a policy that\'s already live?""']",Prospect Control (Prospects)
"['""How can I add more policy detail modules to my quote risk details?""', '""What\'s the purpose of the flashing \'U\' in the top right-hand corner when adding modules?""', '""What does a flashing \'U\' in the top right-hand corner signify when adding modules to a policy?""']",Add Modules To End (Prospects)
"['""How do I activate Commission Flex for a specific product line?""']",Activation (Commission Flex Configuration) (Open-i only) (Prospects)
"['""Does the Standard edition of the Prospects system also allow you to prepare, issue, and record the details of prospective business?""']",Prospects Contents (Prospects)
"['""What\'s the process for creating a new prospect in the system?""']",About This Guide (Prospects)
"['""How can I search for a specific client in the Prospect Details?""', '""What\'s the function of the F6 button in the Prospect Details screen?""', '""How can I make my search more efficient when looking for a specific prospect\'s details?""', '""What do I need to input in the \'Reference\' field when searching for a prospect?""', '""How do I enter the postcode for the search?""', '""What\'s the maximum number of characters I can use for a Frame search?""']",Accessing Prospect Details (Prospects)
"['""How can I use YCI keywords to pull contact information into letters?""', '""What contact details can I view at the Prospect Policy level?""', '""What\'s the purpose of the \'Due Days\' field in the contact details?""', '""What kind of information can I find about a prospect in the system?""', '""What kind of information can I find in the \'Notes\' section of a contact\'s details?""']","Viewing Current Contact Details for Agents, Insurers, Executives and 
 Prospects (Prospects)"
"['""How do I clear the Operator Trail?""']",Viewing the Operator Trail (Prospects)
"['""How can I activate the Audit Trail for records viewed by operator?""']",Prospect/Policy History Log (Prospects)
"['""Where can I find the Core Cloud Specific Training Videos?""', '""Are there any videos on how to secure Outlook in Core Cloud?""', '""What steps are covered in the video for changing default printer settings?""']",Training Videos (FAQs and Latest Updates)
